,appid,average_2weeks,average_forever,ccu,developer,median_2weeks,median_forever,name,negative,owners,owners_variance,players_2weeks,players_2weeks_variance,players_forever,players_forever_variance,positive,price,publisher,score_rank,tags,userscore
107410.0,107410,863,11316,36011,Bohemia Interactive,241,1981,Arma 3,9296,3652501,58367,400156,19384,3543926,57500,86185,1359,Bohemia Interactive,74,"{u'TrackIR': 548, u'First-Person': 930, u'Shooter': 1384, u'Online Co-Op': 982, u'Team-Based': 1021, u'Multiplayer': 2429, u'Singleplayer': 930, u'Simulation': 2943, u'Moddable': 1057, u'Realistic': 2184, u'Sandbox': 1559, u'Co-op': 1257, u'FPS': 1952, u'Tactical': 2177, u'Action': 2100, u'Military': 2865, u'Strategy': 1696, u'War': 1940, u'Open World': 2169, u'Third-Person Shooter': 975}",90
200110.0,200110,13,443,14,Psyonix,25,56,Nosgoth,3860,4290196,63216,1475,2042,2330438,46686,11015,0,Square Enix,,"{u'PvP': 285, u'Shooter': 133, u'Atmospheric': 36, u'Free to Play': 459, u'Team-Based': 225, u'Massively Multiplayer': 112, u'Multiplayer': 364, u'Vampire': 379, u'Dark Fantasy': 106, u'Strategy': 79, u'Dark': 142, u'Fantasy': 149, u'Co-op': 120, u'Gore': 151, u'RPG': 78, u'Action': 452, u'MOBA': 86, u'Horror': 81, u'Third Person': 188, u'Third-Person Shooter': 213}",0
